2024-06-05 16:41:19,728.Bbq_producer.INFO ==================================================
2024-06-05 16:41:19,728.Bbq_producer.INFO Today is 2024-06-05 at 04:41 PM
2024-06-05 16:41:19,729.Bbq_producer.INFO Running on: posix Darwin 23.4.0
2024-06-05 16:41:19,729.Bbq_producer.INFO Python version:  3.12.2
2024-06-05 16:41:19,729.Bbq_producer.INFO Python path: /Users/grahammiller/streaming-05-start-smoker/.venv
2024-06-05 16:41:19,729.Bbq_producer.INFO Working dir: /Users/grahammiller/streaming-05-start-smoker
2024-06-05 16:41:19,729.Bbq_producer.INFO ==================================================
2024-06-05 16:41:21,469.Bbq_producer.INFO Sent message to 01-smoker: (1621704015.0, 84.2)
2024-06-05 16:41:21,489.Bbq_producer.INFO Sent message to 01-smoker: (1621704020.0, 84.2)
2024-06-05 16:41:21,510.Bbq_producer.INFO Sent message to 01-smoker: (1621704070.0, 87.6)
2024-06-05 16:41:21,530.Bbq_producer.INFO Sent message to 01-smoker: (1621704075.0, 87.6)
2024-06-05 16:41:21,545.Bbq_producer.INFO Sent message to 01-smoker: (1621704130.0, 86.3)
2024-06-05 16:41:21,560.Bbq_producer.INFO Sent message to 01-smoker: (1621704135.0, 86.3)
2024-06-05 16:41:21,573.Bbq_producer.INFO Sent message to 01-smoker: (1621704190.0, 92.0)
2024-06-05 16:41:21,585.Bbq_producer.INFO Sent message to 01-smoker: (1621704195.0, 92.0)
2024-06-05 16:41:21,598.Bbq_producer.INFO Sent message to 01-smoker: (1621704250.0, 96.8)
2024-06-05 16:41:21,612.Bbq_producer.INFO Sent message to 01-smoker: (1621704255.0, 96.8)
2024-06-05 16:41:21,624.Bbq_producer.INFO Sent message to 01-smoker: (1621704305.0, 100.6)
2024-06-05 16:41:21,636.Bbq_producer.INFO Sent message to 01-smoker: (1621704310.0, 100.9)
2024-06-05 16:41:21,648.Bbq_producer.INFO Sent message to 01-smoker: (1621704315.0, 100.9)
2024-06-05 16:41:21,659.Bbq_producer.INFO Sent message to 01-smoker: (1621704370.0, 104.8)
2024-06-05 16:41:21,672.Bbq_producer.INFO Sent message to 01-smoker: (1621704375.0, 104.8)
2024-06-05 16:41:21,683.Bbq_producer.INFO Sent message to 01-smoker: (1621704430.0, 108.2)
2024-06-05 16:41:21,694.Bbq_producer.INFO Sent message to 01-smoker: (1621704435.0, 108.2)
2024-06-05 16:41:21,706.Bbq_producer.INFO Sent message to 01-smoker: (1621704490.0, 111.4)
2024-06-05 16:41:21,718.Bbq_producer.INFO Sent message to 01-smoker: (1621704495.0, 111.4)
2024-06-05 16:41:21,730.Bbq_producer.INFO Sent message to 01-smoker: (1621704550.0, 114.2)
2024-06-05 16:41:21,742.Bbq_producer.INFO Sent message to 01-smoker: (1621704555.0, 114.2)
2024-06-05 16:41:21,754.Bbq_producer.INFO Sent message to 01-smoker: (1621704610.0, 116.9)
2024-06-05 16:41:21,765.Bbq_producer.INFO Sent message to 01-smoker: (1621704615.0, 116.9)
2024-06-05 16:41:21,776.Bbq_producer.INFO Sent message to 01-smoker: (1621704670.0, 119.4)
2024-06-05 16:41:21,790.Bbq_producer.INFO Sent message to 01-smoker: (1621704675.0, 119.4)
2024-06-05 16:41:21,800.Bbq_producer.INFO Sent message to 01-smoker: (1621704730.0, 120.1)
2024-06-05 16:41:21,813.Bbq_producer.INFO Sent message to 01-smoker: (1621704735.0, 120.1)
2024-06-05 16:41:21,825.Bbq_producer.INFO Sent message to 01-smoker: (1621704790.0, 106.2)
2024-06-05 16:41:21,838.Bbq_producer.INFO Sent message to 01-smoker: (1621704795.0, 106.2)
2024-06-05 16:41:21,849.Bbq_producer.INFO Sent message to 01-smoker: (1621704850.0, 103.5)
2024-06-05 16:41:21,863.Bbq_producer.INFO Sent message to 01-smoker: (1621704855.0, 103.5)
2024-06-05 16:41:21,886.Bbq_producer.INFO Sent message to 01-smoker: (1621704910.0, 105.3)
2024-06-05 16:41:21,911.Bbq_producer.INFO Sent message to 01-smoker: (1621704915.0, 105.3)
2024-06-05 16:41:21,932.Bbq_producer.INFO Sent message to 01-smoker: (1621704970.0, 106.9)
2024-06-05 16:41:21,947.Bbq_producer.INFO Sent message to 01-smoker: (1621704975.0, 106.9)
2024-06-05 16:41:21,964.Bbq_producer.INFO Sent message to 01-smoker: (1621705030.0, 111.9)
2024-06-05 16:41:21,979.Bbq_producer.INFO Sent message to 01-smoker: (1621705035.0, 111.9)
2024-06-05 16:41:21,994.Bbq_producer.INFO Sent message to 01-smoker: (1621705090.0, 114.2)
2024-06-05 16:41:22,009.Bbq_producer.INFO Sent message to 01-smoker: (1621705095.0, 114.2)
2024-06-05 16:41:22,024.Bbq_producer.INFO Sent message to 01-smoker: (1621705150.0, 115.5)
